Model,Accuracy,Precision,Recall,F1-Score
Transformer,0.9919316563834836,0.99205054319013,0.9919316563834836,0.9919698376586492
Feature Attention,0.9881347887992407,0.9881405080294391,0.9881347887992407,0.9881219380198615
Multi-Head Attention,0.9781680113906027,0.9786094643821283,0.9781680113906027,0.9780702984547315
